experiment_name,dataset,executor_instances,graph_source,executor_cores,executor_memory_gb,executor_memory_overhead_gb,num_hops,phase37_partitions,started_utc,finished_utc,return_code,log_path
phase37-paper-wikics-e64-c4-m16-oh12-20260810T180841Z,wikics,64,phase0,4,16,12,2,2048,2026-08-10T18:53:40.246909+00:00,2026-08-10T18:55:44.441068+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e64-c4-m16-oh12-20260810T180841Z.log
phase37-paper-wikics-e64-c4-m24-oh8-20260810T180841Z,wikics,64,phase0,4,24,8,2,2048,2026-08-10T18:55:44.441253+00:00,2026-08-10T18:57:48.094433+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e64-c4-m24-oh8-20260810T180841Z.log
phase37-paper-wikics-e64-c4-m24-oh12-20260810T180841Z,wikics,64,phase0,4,24,12,2,2048,2026-08-10T18:57:48.094619+00:00,2026-08-10T18:59:48.289915+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-wikics-e64-c4-m24-oh12-20260810T180841Z.log
phase37-paper-ogbn-products-e16-c2-m16-oh8-20260810T180841Z,ogbn-products,16,phase0,2,16,8,2,512,2026-08-10T18:59:48.290100+00:00,2026-08-10T19:03:09.999686+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e16-c2-m16-oh8-20260810T180841Z.log
phase37-paper-ogbn-products-e16-c2-m16-oh12-20260810T180841Z,ogbn-products,16,phase0,2,16,12,2,512,2026-08-10T19:03:09.999872+00:00,2026-08-10T19:06:33.131437+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e16-c2-m16-oh12-20260810T180841Z.log
phase37-paper-ogbn-products-e16-c2-m24-oh8-20260810T180841Z,ogbn-products,16,phase0,2,24,8,2,512,2026-08-10T19:06:33.131619+00:00,2026-08-10T19:09:49.908453+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e16-c2-m24-oh8-20260810T180841Z.log
phase37-paper-ogbn-products-e16-c2-m24-oh12-20260810T180841Z,ogbn-products,16,phase0,2,24,12,2,512,2026-08-10T19:09:49.908637+00:00,2026-08-10T19:13:08.401954+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e16-c2-m24-oh12-20260810T180841Z.log
phase37-paper-ogbn-products-e16-c4-m16-oh8-20260810T180841Z,ogbn-products,16,phase0,4,16,8,2,512,2026-08-10T19:13:08.402137+00:00,2026-08-10T19:15:28.810616+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e16-c4-m16-oh8-20260810T180841Z.log
phase37-paper-ogbn-products-e16-c4-m16-oh12-20260810T180841Z,ogbn-products,16,phase0,4,16,12,2,512,2026-08-10T19:15:28.810802+00:00,2026-08-10T19:17:50.631601+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e16-c4-m16-oh12-20260810T180841Z.log
phase37-paper-ogbn-products-e16-c4-m24-oh8-20260810T180841Z,ogbn-products,16,phase0,4,24,8,2,512,2026-08-10T19:17:50.631807+00:00,2026-08-10T19:20:10.055704+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e16-c4-m24-oh8-20260810T180841Z.log
